Date,Stock_Name,Open,High,Low,Close,Volume,Daily_Return_Pct,50_Day_SMA,200_Day_SMA
2024-07-10,RELIANCE,1575.9946562525065,1578.4648673124634,1544.5241914718106,1565.3480224609375,7134578,-0.6755501200039091,,
2024-07-11,RELIANCE,1568.5840280306456,1585.1344421846698,1551.786592769845,1561.815673828125,11940946,-0.43149452509842884,,
2024-07-12,RELIANCE,1565.619909710512,1586.0238790122883,1555.739064587694,1577.69921875,12924784,0.7715352215801506,,
2024-07-15,RELIANCE,1585.332123675554,1586.7154660951303,1566.607970695329,1578.1932373046875,5329688,-0.4503085671609995,,
2024-07-16,RELIANCE,1574.5125966882063,1580.9351457176842,1550.4280378276635,1557.4681396484375,9386838,-1.082522748666456,,
2024-07-18,RELIANCE,1557.2210712967385,1574.9078068261192,1539.2625884242743,1567.7689208984375,12298374,0.6773508139673149,,
2024-07-19,RELIANCE,1567.1020115011324,1571.029623251694,1534.2976544625544,1536.61962890625,13140390,-1.9451434795673104,,
2024-07-22,RELIANCE,1518.9328421942273,1519.1798633102128,1481.4103587992008,1482.793701171875,19674376,-2.3792454819889373,,
2024-07-23,RELIANCE,1483.1147807956386,1487.808182000688,1445.5675711552426,1470.1708984375,18052044,-0.8727498724808505,,
2024-07-24,RELIANCE,1467.3054738461674,1491.5135439533938,1458.8079713194404,1477.8779296875,11913362,0.7205354324494962,,
2024-07-25,RELIANCE,1463.3530011800513,1482.595920809754,1459.474721651074,1474.6171875,12519876,0.7697518172898326,,
2024-07-26,RELIANCE,1474.6172851615388,1494.4037007697482,1472.59166375446,1491.044189453125,9859940,1.1139774677052352,,
2024-07-29,RELIANCE,1493.9342700426573,1509.2990318372968,1493.7614276294273,1501.9871826171875,7538550,0.5390406215328497,,
2024-07-30,RELIANCE,1498.9488223237445,1506.8287716127938,1492.0075050067665,1495.1199951171875,8228208,-0.2554341515557111,,
2024-07-31,RELIANCE,1486.0788700242824,1492.4519658681731,1483.2628537354879,1487.4869384765625,10057346,0.09475058697638765,,
2024-08-01,RELIANCE,1493.9836579008804,1499.9121644798522,1486.37545603751,1497.244384765625,10764222,0.21825719762731963,,
